WhatIsYourSex,Sex,HowTallAreYouWithoutShoesInMeters,Height_m
2,Male,1.7,1.7
1,Female,1.63,1.63
1,Female,1.73,1.73
1,Female,1.78,1.78
1,Female,1.6,1.6
1,Female,1.57,1.57
1,Female,1.6,1.6
1,Female,1.57,1.57
1,Female,1.73,1.73
1,Female,1.6,1.6
1,Female,1.73,1.73
2,Male,1.83,1.83
2,Male,1.73,1.73
2,Male,1.57,1.57
2,Male,1.8,1.8
2,Male,1.75,1.75
2,Male,1.7,1.7
2,Male,1.78,1.78
2,Male,1.78,1.78
1,Female,1.47,1.47
1,Female,1.83,1.83
1,Female,1.68,1.68
1,Female,1.63,1.63
1,Female,1.65,1.65
1,Female,1.55,1.55
1,Female,1.57,1.57
1,Female,1.57,1.57
1,Female,1.68,1.68
1,Female,1.65,1.65
2,Male,1.8,1.8
2,Male,1.8,1.8
2,Male,1.8,1.8
1,Female,1.68,1.68
1,Female,1.65,1.65
1,Female,1.73,1.73
1,Female,1.7,1.7
1,Female,1.83,1.83
1,Female,1.57,1.57
1,Female,1.65,1.65
2,Male,1.88,1.88
2,Male,1.75,1.75
2,Male,1.9,1.9
2,Male,1.8,1.8
1,Female,1.68,1.68
1,Female,1.6,1.6
1,Female,1.68,1.68
1,Female,1.88,1.88
1,Female,1.68,1.68
1,Female,1.68,1.68
1,Female,1.68,1.68
1,Female,1.73,1.73
2,Male,1.68,1.68
2,Male,1.7,1.7
2,Male,1.85,1.85
1,Female,1.68,1.68
2,Male,1.9,1.9
2,Male,1.8,1.8
2,Male,1.6,1.6
2,Male,1.83,1.83
2,Male,1.78,1.78
2,Male,1.7,1.7
2,Male,1.75,1.75
2,Male,1.8,1.8
2,Male,1.78,1.78
2,Male,1.68,1.68
1,Female,1.57,1.57
1,Female,1.65,1.65
1,Female,1.6,1.6
1,Female,1.68,1.68
1,Female,1.63,1.63
1,Female,1.63,1.63
1,Female,1.57,1.57
1,Female,1.68,1.68
1,Female,1.6,1.6
1,Female,1.6,1.6
1,Female,1.68,1.68
2,Male,1.7,1.7
2,Male,1.85,1.85
1,Female,1.57,1.57
1,Female,1.65,1.65
2,Male,1.88,1.88
1,Female,1.7,1.7
1,Female,1.5,1.5
1,Female,1.55,1.55
1,Female,1.63,1.63
1,Female,1.6,1.6
1,Female,1.5,1.5
1,Female,1.68,1.68
2,Male,1.83,1.83
1,Female,1.55,1.55
1,Female,1.63,1.63
2,Male,1.85,1.85
1,Female,1.6,1.6
1,Female,1.55,1.55
1,Female,1.7,1.7
1,Female,1.6,1.6
1,Female,1.68,1.68
1,Female,1.68,1.68
1,Female,1.7,1.7
1,Female,1.68,1.68
1,Female,1.35,1.35
1,Female,1.63,1.63
2,Male,1.68,1.68
1,Female,1.52,1.52
1,Female,1.55,1.55
1,Female,1.55,1.55
2,Male,1.68,1.68
2,Male,1.78,1.78
2,Male,1.68,1.68
2,Male,1.68,1.68
2,Male,1.73,1.73
2,Male,1.68,1.68
1,Female,1.68,1.68
1,Female,1.63,1.63
2,Male,1.63,1.63
2,Male,1.78,1.78
2,Male,1.65,1.65
2,Male,1.73,1.73
2,Male,1.83,1.83
1,Female,1.63,1.63
1,Female,1.65,1.65
1,Female,1.7,1.7
1,Female,1.6,1.6
2,Male,1.6,1.6
1,Female,1.68,1.68
1,Female,1.65,1.65
2,Male,1.7,1.7
1,Female,1.63,1.63
2,Male,1.63,1.63
2,Male,1.85,1.85
1,Female,1.57,1.57
1,Female,1.68,1.68
1,Female,1.6,1.6
2,Male,1.78,1.78
2,Male,1.8,1.8
1,Female,1.6,1.6
1,Female,1.73,1.73
1,Female,1.63,1.63
1,Female,1.63,1.63
1,Female,1.73,1.73
1,Female,1.57,1.57
1,Female,1.6,1.6
1,Female,1.65,1.65
2,Male,1.78,1.78
2,Male,1.9,1.9
2,Male,1.83,1.83
1,Female,1.68,1.68
1,Female,1.57,1.57
2,Male,1.9,1.9
2,Male,1.7,1.7
2,Male,1.75,1.75
2,Male,1.83,1.83
2,Male,1.65,1.65
2,Male,1.7,1.7
1,Female,1.65,1.65
2,Male,1.78,1.78
2,Male,1.8,1.8
1,Female,1.73,1.73
1,Female,1.45,1.45
1,Female,1.65,1.65
1,Female,1.63,1.63
2,Male,1.73,1.73
2,Male,1.75,1.75
1,Female,1.68,1.68
1,Female,1.7,1.7
1,Female,1.5,1.5
2,Male,1.68,1.68
2,Male,1.93,1.93
2,Male,1.65,1.65
1,Female,1.63,1.63
1,Female,1.52,1.52
2,Male,1.7,1.7
2,Male,1.7,1.7
2,Male,1.85,1.85
1,Female,1.63,1.63
1,Female,1.65,1.65
1,Female,1.6,1.6
1,Female,1.75,1.75
1,Female,1.7,1.7
1,Female,1.63,1.63
2,Male,1.83,1.83
1,Female,1.68,1.68
1,Female,1.57,1.57
2,Male,1.73,1.73
2,Male,1.85,1.85
1,Female,1.75,1.75
1,Female,1.45,1.45
1,Female,1.55,1.55
1,Female,1.73,1.73
1,Female,1.55,1.55
1,Female,1.7,1.7
1,Female,1.68,1.68
1,Female,1.6,1.6
1,Female,1.83,1.83
1,Female,1.63,1.63
1,Female,1.63,1.63
1,Female,1.65,1.65
1,Female,1.65,1.65
1,Female,1.65,1.65
1,Female,1.65,1.65
2,Male,1.65,1.65
1,Female,1.57,1.57
2,Male,1.73,1.73
2,Male,1.73,1.73
2,Male,1.85,1.85
1,Female,1.68,1.68
1,Female,1.55,1.55
1,Female,1.68,1.68
1,Female,1.63,1.63
1,Female,1.57,1.57
2,Male,1.65,1.65
2,Male,1.75,1.75
1,Female,1.7,1.7
2,Male,1.8,1.8
2,Male,1.8,1.8
1,Female,1.55,1.55
1,Female,1.63,1.63
1,Female,1.8,1.8
2,Male,1.6,1.6
1,Female,1.57,1.57
1,Female,1.7,1.7
2,Male,1.88,1.88
2,Male,1.57,1.57
2,Male,1.68,1.68
2,Male,1.5,1.5
2,Male,1.78,1.78
1,Female,1.57,1.57
1,Female,1.65,1.65
1,Female,1.5,1.5
1,Female,1.7,1.7
1,Female,1.68,1.68
1,Female,1.7,1.7
1,Female,1.6,1.6
1,Female,1.65,1.65
1,Female,1.68,1.68
2,Male,1.75,1.75
2,Male,1.75,1.75
2,Male,1.78,1.78
2,Male,1.9,1.9
2,Male,1.83,1.83
2,Male,1.83,1.83
1,Female,1.5,1.5
1,Female,1.68,1.68
1,Female,1.55,1.55
2,Male,1.78,1.78
2,Male,1.78,1.78
2,Male,1.83,1.83
2,Male,1.7,1.7
2,Male,1.73,1.73
2,Male,1.7,1.7
2,Male,1.93,1.93
2,Male,1.7,1.7
2,Male,1.9,1.9
1,Female,1.68,1.68
1,Female,1.7,1.7
2,Male,1.85,1.85
2,Male,1.9,1.9
2,Male,1.78,1.78
2,Male,1.73,1.73
2,Male,1.8,1.8
2,Male,1.65,1.65
2,Male,1.9,1.9
2,Male,1.75,1.75
2,Male,1.78,1.78
1,Female,1.63,1.63
1,Female,1.83,1.83
2,Male,1.8,1.8
2,Male,1.96,1.96
2,Male,1.73,1.73
2,Male,1.63,1.63
2,Male,1.68,1.68
1,Female,1.78,1.78
1,Female,1.52,1.52
1,Female,1.52,1.52
1,Female,1.65,1.65
1,Female,1.5,1.5
1,Female,1.6,1.6
1,Female,1.7,1.7
1,Female,1.55,1.55
2,Male,1.68,1.68
2,Male,1.68,1.68
2,Male,1.8,1.8
2,Male,1.88,1.88
2,Male,1.83,1.83
1,Female,1.8,1.8
1,Female,1.68,1.68
1,Female,1.57,1.57
1,Female,1.68,1.68
1,Female,1.52,1.52
1,Female,1.65,1.65
2,Male,1.9,1.9
1,Female,1.75,1.75
1,Female,1.73,1.73
2,Male,1.65,1.65
2,Male,1.75,1.75
2,Male,1.75,1.75
